"question_id","content","category"
1,"Jak nazywa się platforma, na której studenci WSB Merito mają dostęp do materiałów dydaktycznych?",1
2,"Który dokument potwierdza status studenta?",1
3,"Co oznacza skrót WSB w nazwie uczelni?",1
4,"Kiedy zazwyczaj rozpoczyna się rok akademicki?",1
5,"Jakie formy zajęć mogą występować na WSB Merito?",1
6,"Jakie udogodnienia są dostępne dla studentów na uczelni?",1
7,"Jakie platformy edukacyjne online mogą być używane przez studentów WSB Merito?",1
8,"Jakie zachowania są mile widziane na uczelni?",1
9,"Gdzie student może sprawdzić swój plan zajęć?",1
10,"Co oznacza skrót ECTS?",1
11,"Które z poniższych NIE jest typowym kierunkiem studiów na WSB Merito?",1
12,"Kiedy student może skorzystać z biblioteki uczelnianej?",3
